Service Name,Service Alternate Name,Category,Organization,Main Phone Number,Alternative Phone Number,Fax Number,Street Address,City,State,ZIP Code,URL,Description
Abuse and Neglect Hotlines,,Abuse and Neglect Hotlines,Missouri Dept. of Health and Senior Services  ,1-800-392-0210,1-800-392-3738,,,,MO,,https://health.mo.gov/,"Reports of Abuse, Neglect and Exploitation of an Adult or Child"
Abuse and Neglect Hotlines,,Abuse and Neglect Hotlines,Rape & Abuse Hotline,800-303-0013,,,,,MO,,https://www.rainn.org/ ,Hotline for individual who needs to talk regarding rape or any abuse.  
Abuse and Neglect Hotlines,,Abuse and Neglect Hotlines,Kansas Hot Line ,800-922-5330,,,,,KS,,http://www.dcf.ks.gov/services/pps/pages/kips/kipswebintake.aspx,"Reports of Abuse, Neglect and Exploitation of an Adult or Child"
Abuse and Neglect Hotlines,,Abuse and Neglect Hotlines,Oklahoma Hot Line,800-522-3511,405-841-0800,,,,OK,,https://www.ok.gov/health/Family_Health/Family_Support_and_Prevention_Service/Oklahoma_Child_Abuse_Hotline/index.html,"Reports of Abuse, Neglect and Exploitation of an Adult or Child"
Acute Rehab Facilities,,Acute Rehab Facilities,Freeman East Rehab,417-347-1234,,417-347-1243,932 E. 34th Street,Joplin,MO,64804,,Our interdisciplinary team works closely together to design individual care plans for each patient
Acute Rehab Facilities,,Acute Rehab Facilities,Labette County Medical Center - Webster Inpatient Rehab,620-778-3325,,620-820-5170,"1902 S. US Highway 59, Bldg. E, Suite 201",Parsons,KS,67357,,"Treats many diseases and injuries related to the nerves, muscles, bones and brain including migraines, traumatic brain injury, spinal cord injury, stroke and more."
Acute Rehab Facilities,,Acute Rehab Facilities,Via Christi Rehab,620-235-7988,620-232-0178,,1 Mt Carmel Way,Pittsburg,KS,66762,,"Ascension Via Christi Hospital Pittsburg's multidisciplinary team of rehabilitation professionals are committed to developing individualized, problem-specific, result-driven treatment plans for our patients. Rehabilitation services are available to inpatients, skilled nursing patients, outpatients and home health patients."
Acute Rehab Facilities,,Acute Rehab Facilities,Post Acute Medical (PAM),918-663-8183,,,3219 South 79th East Avenue,Tulsa,OK,74145,,Certified by Medicare and licensed as an acute long-term care hospital providing specialized medical care to acutely ill patients requiring extended recovery time after the acute care hospital stay.
Acute Rehab Facilities,,Acute Rehab Facilities,Kaiser Rehabilitation Center,918-579-7100,,,1125 S. Trenton Ave      ,Tulsa,OK,74120,,Inpatient rehabilitation center.
Acute Rehab Facilities,,Acute Rehab Facilities,St John's Rehabilitation Service,(918) 748-1333,,,"1819 E 19th St, Ste 300      ",Tulsa,OK,74104, https://www.stjohnhealthsystem.com/clinic,Outpatient clinic.
Adult Education & Assistance,,Adult Education & Assistance,Adult Basic Education ,417-359-7095,,,609 River St,Carthage,MO,64836,,Individual instruction in basic academic subjects and vocational counseling;  GED preparations (in English) and instruction for Post-Secondary remediation.
Adult Education & Assistance,,Adult Education & Assistance,Adult Education & Literacy Learning Center  ,417-625-5263 ,,,123 South Main,Joplin,MO,64804,,"Mon-Thursday 8:30am-2pm, Friday 8:30-noon, Orientation 1st & 3rd Tues. 9am-noon. Evening classes: Mon-Thurs  5-8pm, orientation 2nd & 4th Tues. 5:30-8pm "
Adult Education & Assistance,,Adult Education & Assistance,Adult Education & Literacy - Webb City,417-625-5263,,,101 S. Liberty,Webb City,MO,64870,,1st Tues. at 8:30   2nd & 4th Tuesdays at 6:30 pm
